Species,lipid_class,E11,E12,E14,E17,P0,P1,P7,P21,FA1,FA2
PE34:2p,PE,3.07E-05,6.46E-05,8.00E-05,9.38E-05,0.00032958,0.000391502,0.000505277,0.000502836,34:2,NA
PE34:1p,PE,9.59E-05,0.000193883,0.000251777,0.000234703,0.000711294,0.000675202,0.000970481,0.00055041,34:1,NA
PE32:1,PE,3.71E-05,0.000243846,0.000438529,0.000482086,0.000301538,0.000374346,0.000443955,0.001349633,32:1,NA
PE32:0,PE,3.71E-05,0.000138131,0.000235472,0.000164394,0.000174088,0.0002671,0.000520485,0.001634464,32:0,NA
PE34:2,PE,0.000239808,0.001274236,0.0021829,0.003023731,0.003601504,0.00329401,0.012460443,0.040921901,34:2,NA
PE34:1,PE,0.00031626,0.001481904,0.00252102,0.002472906,0.002462927,0.001744579,0.003671668,0.013466673,34:1,NA
PE34:0,PE,6.07E-05,0.000278807,0.00045361,0.000349771,0.000340944,0.000374786,0.000736203,0.002379313,34:0,NA
PE36:4,PE,0.000459049,0.002394703,0.003903811,0.006671202,0.00663432,0.006687177,0.030179579,0.083478541,36:4,NA
PE36:3,PE,0.000273477,0.001471837,0.002182897,0.002895232,0.003463421,0.002680502,0.00730273,0.026698408,36:3,NA
PE36:2,PE,0.000387575,0.001778912,0.003526507,0.004015704,0.004325129,0.003676924,0.01370119,0.047691541,36:2,NA
PE36:1,PE,0.000162623,0.000619963,0.001458391,0.001511132,0.001522132,0.001305727,0.00268247,0.009742531,36:1,NA
PE38:7,PE,1.81E-05,0.000128087,0.000302041,0.000468527,0.000520311,0.000528698,0.001329891,0.003755495,38:7,NA
PE38:6,PE,0.000314439,0.002211388,0.00575407,0.016793542,0.015835853,0.01437814,0.129512012,0.219072618,38:6,NA
PE38:5,PE,0.000351881,0.00251197,0.003876031,0.006062825,0.007636013,0.00610685,0.029951782,0.071574415,38:5,NA
PE38:4,PE,0.000734222,0.004317527,0.006780018,0.013137362,0.016603813,0.017573595,0.094161931,0.229023013,38:4,NA
PE38:3,PE,0.000123022,0.000690736,0.001303288,0.00213109,0.002510361,0.00292728,0.014465425,0.032312472,38:3,NA
PE40:6,PE,0.000206447,0.001180767,0.002972845,0.007079556,0.007153401,0.00598098,0.049825364,0.073292522,40:6,NA
PE40:5,PE,6.79E-05,0.000463946,0.000917538,0.001453573,0.001611159,0.001734973,0.010146107,0.015308797,40:5,NA
PE40:4,PE,5.71E-05,0.000324677,0.000665101,0.000589535,0.000761748,0.002109359,0.002773252,0.005538492,40:4,NA
PE42:5,PE,1.81E-05,5.97E-05,0.000198063,0.000168482,0.000178489,0.000723768,0.000903179,0.001621935,42:5,NA
PE42:4,PE,1.23E-05,5.50E-05,0.000185472,0.000182501,0.000259981,0.000873422,0.000579894,0.001160668,42:4,NA
